,Symbol,Sharpe Ratio,Hurst
0,AAP/ABT,1.0457589284682574,0.32484431918545664
1,AAP/AVB,0.18063009545661227,0.34475571864713406
2,AAP/AWK,0.11953000286409265,0.46686660405748903
3,AAP/LLY,1.3537247727536572,0.38504291858398454
4,AAP/REG,0.4630299672815448,0.3567793645299033
5,AAP/RSG,1.9629497478552205,0.27301100750998
6,AAP/UNH,0.6412582369652787,0.29618897541130995
7,ABC/ABMD,0.9447754847331826,0.4655715019357315
8,ABC/CHTR,0.573987585771216,0.3411540340213583
9,ABC/DISH,0.7095682732381687,0.37136658525594707
10,ABC/GIS,0.6517075039618282,0.3444353983056301
11,ABMD/CAH,0.22939160877691378,0.40063465939769993
12,ABT/AEE,0.8653796965658355,0.4145884772994715
13,ABT/BLK,0.10910098802093657,0.3611870421326276
14,ABT/MKC,1.6383481169812282,0.473658599416312
15,ABT/MOS,1.4055227921148408,0.3517525444785118
16,ACN/AMGN,0.0877716811245902,0.31762507064121265
17,ACN/BIIB,0.9098445071469936,0.44392135135427796
18,ACN/FRT,1.2586229451128326,0.393038386498826
19,ACN/HAS,0.877562014839484,0.26721512982840345
20,ACN/KIM,0.8026211905889771,0.3769369519271134
21,ACN/PAYX,0.7599702363093016,0.3259133056116211
22,ACN/PYPL,0.8948806895826764,0.35566487743095127
23,ADBE/CAH,0.8914359227675155,0.3803553669372324
24,ADBE/CMI,0.9133167190378156,0.43563718668675044
25,ADBE/DRE,0.5761095332965983,0.3394385434089215
26,ADBE/INFO,0.744943504986352,0.3232144071690186
27,ADBE/NOW,0.824042414361566,0.19544428364528205
28,ADBE/SJM,0.8124988281176758,0.35842488580248916
29,ADBE/TRV,0.8257262857043268,0.2975962475149273
30,ADBE/WAT,0.8399782370402366,0.3912991248892529
31,ADBE/XRX,0.8904691752876551,0.45927517943693175
32,ADM/SRE,0.8559108537234316,0.283028161604603
33,ADP/CDW,1.115949019341612,0.3190374380093873
34,ADP/MGM,0.8603112959907979,0.3303536794063648
35,ADP/UNH,0.5240248459030412,0.2607823735808202
36,ADSK/KEYS,0.9825021074431248,0.28529398875524
37,ADSK/PLD,0.7619784352462298,0.3251615085159562
38,AEE/AIV,0.6105994820973091,0.2977258350686849
39,AEE/HUM,1.1236218799490334,0.3214551568097495
40,AEE/MS,0.6304440215081548,0.33799863180475054
41,AEE/UAL,0.6537276221475862,0.30313014292492696
42,AEE/UNH,0.6778039114605179,0.2836572347365297
43,AEP/STT,0.8742928975487109,0.46555684938925024
44,AEP/UAL,3.979194897040512,0.29906380019595025
45,AES/ATO,0.423564676043341,0.3202432956900405
46,AES/EBAY,0.3508601103537714,0.42740409681098473
47,AES/MGM,0.3296463884699385,0.2579914273303119
48,AES/MS,0.27698647964715334,0.42178195958579034
49,AES/O,0.5256954490478339,0.34509304970811816
50,AFL/PAYC,0.8113510097437182,0.37665682885361124
51,AIG/IBM,0.6555195543284931,0.2481674502028315
52,AIV/ANTM,0.6375240504680652,0.2771521779047418
53,AIV/CDW,0.5799554752803797,0.3824738040969822
54,AIV/HSIC,1.5510339139401723,0.39128212470159446
55,AIZ/VFC,0.6249062265566437,0.36857525523092927
56,AJG/AWK,0.8661353562882914,0.48303253883748765
57,AJG/DTE,0.3189866521383724,0.4226278271999259
58,AJG/DUK,0.26953981008033706,0.4356388267431185
59,AJG/IPGP,0.8630823111954395,0.3704898431960425
60,ALB/ALL,0.7289936177997012,0.37606073760221276
61,ALB/A,0.8391261331552999,0.4166605566650521
62,ALB/CAH,0.6863237139272237,0.41263073289345703
63,ALB/COF,0.03673181634775509,0.4484875624427652
64,ALB/DLTR,0.49060159951097015,0.3332673526011577
65,ALB/MDLZ,0.16644488035626384,0.4250277213513218
66,ALB/UAA,1.3845882563317244,0.361844760346928
67,ALB/USB,1.954517919369433,0.4147957304023349
68,ALK/AZO,0.8309825827551515,0.4244919353165078
69,ALK/DOV,0.5336582181080619,0.44013485758195103
70,ALK/GPC,0.8493964562986172,0.4601069113055153
71,ALK/KMB,2.099288096407571,0.355934899769889
72,ALK/KO,0.6132799659686384,0.4267995140727295
73,ALK/MDLZ,0.8655145748579496,0.4120897258281598
74,ALK/PPL,0.7901980530379322,0.4279493296990086
75,ALK/XLNX,0.6674536929267417,0.4618275113883526
76,ALL/LHX,0.5988187191208959,0.3595307124842497
77,AMAT/MOS,0.9729021743148808,0.34966564849601345
78,AMCR/CFG,0.3511970414585369,0.261125583168037
79,AME/ANET,2.3434216246176667,0.3000315136760627
80,AME/DFS,0.5781213744805633,0.4582925284241013
81,AME/KEY,0.8461988034266912,0.32436774610447894
82,AME/LUV,0.7715173532570205,0.4276692231432015
83,AME/TPR,0.9399585044248271,0.48706971413611067
84,AMGN/COO,0.36814212341211333,0.2689373916741403
85,AMZN/CTAS,0.45002062422659744,0.2849367982453286
86,AMZN/FRT,0.4713749537452976,0.42576988027632473
87,AMZN/GWW,0.03584207048642129,0.3027640210857281
88,AMZN/IDXX,0.19027037647773898,0.19060836390132974
89,ANET/AON,0.4649492872792971,0.2779202965013793
90,ANET/AOS,0.11540524500304415,0.24507002331291644
91,ANET/APTV,0.5908522435333506,0.2959449154136535
92,ANET/ARE,0.668531165738799,0.26155195257897923
93,ANET/AVY,0.8685317627261251,0.3851902694351028
94,ANET/BLK,0.8269372214770909,0.2682617832890074
95,ANET/BLL,0.8673344167689295,0.36689183183833296
96,ANET/BMY,1.12870585754175,0.37965560657817016
97,ANET/CAG,0.17554180305341374,0.2740516329684317
98,ANET/CBRE,0.13427408882345943,0.2925498261821612
