,Symbol,Sharpe Ratio,Hurst:
0,AAPL,0.7286065726329776,0.5156329361300983
1,ALGN,0.201811907241811,0.5777369828392138
2,AMD,1.048078688004127,0.5941602165783717
3,APA,1.1781368882237662,0.5784657093038656
4,ATVI,0.8615474880049614,0.578565457060332
5,AVY,1.266315910945397,0.5023631152836818
6,AZO,0.11204298448323294,0.5230038200789183
7,BAX,0.7552726575242298,0.5134989987394845
8,BKR,1.021327862557018,0.5745968031054299
9,BMY,0.9029092059976371,0.5847438210258965
10,BR,0.6502470010522298,0.5457289988481968
11,CE,1.2313686063983256,0.5098583687558962
12,CI,1.1001395901316224,0.5037501210083216
13,COP,0.5957675016515503,0.5011387962332498
14,CPRT,0.9518723548210661,0.5488347113967432
15,CTAS,0.8810272487055851,0.5340237357564978
16,CVX,0.9046085239152976,0.5014941499289123
17,DRI,0.7571081492592071,0.5566765743618095
18,DVN,1.2257267075534395,0.6149362802310612
19,DXC,0.8975453265047053,0.5402026091810356
20,EA,0.946790304282205,0.5238601394166233
21,EL,0.7876849224098471,0.5038163256917952
22,EOG,0.7220805570496627,0.5204599377280203
23,ETN,1.0222452294022575,0.5187917867443989
24,FAST,1.7339815086711452,0.5081847473736391
25,FFIV,0.5908343561406495,0.5080368467403747
26,FLIR,1.039208051857087,0.5372830917273824
27,F,1.4175504049604233,0.5224877856774038
28,GE,1.3061214038377722,0.5024458032586879
29,GLW,0.9693719440081232,0.5226611883346388
30,GWW,0.6922311942839364,0.5081781998751123
31,HAL,0.9171929672606386,0.5080482508208071
32,HD,1.2434550365377275,0.5293590573023887
33,HES,1.1290455937643649,0.551550857797296
34,HFC,3.732536094168945,0.5444804149606473
35,IEX,0.747798321433884,0.517002101169817
36,IT,0.8973315314115179,0.5396475542807675
37,JKHY,0.605774779718395,0.5517011376326983
38,KIM,0.3550508303502866,0.501952848858185
39,KMX,0.35206412108114965,0.5144618777678724
40,LOW,0.8444916687306814,0.5868936506148824
41,LW,0.48892012977026467,0.5019915783155026
42,MCHP,0.45379320869193235,0.5531436688399559
43,MKTX,0.7233891965863843,0.568906110206463
44,MLM,0.6269250143218359,0.5040054518560784
45,MPC,0.8061538111898139,0.5118666550832414
46,MRO,1.0225063101049285,0.5470385541091208
47,MU,1.055962118421398,0.5139978362076147
48,NBL,0.6245963914911042,0.5133785160348407
49,NCLH,1.3610242250896878,0.5354583317509544
50,NDAQ,1.0292278165639575,0.5031606634713263
51,ODFL,1.0711568870216832,0.5389285366019323
52,OXY,1.0523562832298927,0.6054118162371372
53,PAYC,0.40816339275469216,0.518712740486901
54,PCAR,1.4056378320743588,0.5096984621876491
55,PEP,1.1316526954209922,0.572102302403639
56,PH,1.012247094284804,0.5714633389446119
57,PKG,0.9831773874084391,0.5524949242949413
58,PSX,0.678704799698343,0.5884861899818191
59,QCOM,1.30689538835541,0.5679845415432098
60,RHI,0.8700601351178551,0.5437210448018827
61,RL,0.7103467507343808,0.5242179988306321
62,SBUX,0.7364807630144138,0.5264000656727793
63,SEE,1.9052026839054963,0.6038032643103001
64,SHW,1.149195541856191,0.5390040450046181
65,SIVB,0.7483502462023451,0.5783539646515152
66,SLB,1.067648654934743,0.5087282923204363
67,SNA,0.9544336913142744,0.5823219394548103
68,SWK,0.7430662139308701,0.5079442181716282
69,TIF,1.1928004105865984,0.536745494279404
70,TSCO,0.7779068534948715,0.5036672950892701
71,TWTR,0.7044262880242591,0.576115083197041
72,TXT,1.1180750334912737,0.5883290722210701
73,TYL,1.0600329334843657,0.5287955068766804
74,ULTA,1.1619126569977243,0.5415434952227678
75,UPS,0.9093410187813832,0.6147281873834934
76,URI,1.092564834057034,0.5124827651250393
77,VLO,0.6110804466014801,0.6168684272634936
78,VTR,0.6578070479585718,0.5286008384822368
79,WAB,0.667657281114862,0.5247583656524432
80,WDC,1.0503706352364512,0.5078446907647468
81,WELL,0.013719453177313549,0.5035679848663744
82,WMB,0.8502755596860749,0.5418348305967109
83,WRK,0.7929391826271242,0.5127479963037574
84,WST,0.8626513415927793,0.5219015812084615
85,XYL,0.9010272608692855,0.5080224094328905
