,Symbol,Sharpe Ratio,Hurst:
0,AUD-CHF,0.21599940654834737,0.5067737916718797
1,CAD-CHF,0.7128687840049478,0.5487722339085154
2,CHF-JPY,0.7205260850985749,0.5134478913442743
3,EUR-AUD,0.4854479867117062,0.5573992420494198
4,EUR-CHF,0.893595304562394,0.5512827248855563
5,EUR-NZD,0.2763534877820855,0.5401234058922629
6,GBP-CHF,1.5096079888860796,0.528850698016894
