Date,Open,High,Low,Close,Adj Close,Volume
2019-11-28,0.02933,0.030702,0.0261,0.029318,0.029318,5235.618
2019-11-29,0.029315,0.0299,0.0288,0.028941,0.028941,12177.097
2019-11-30,0.028921,0.028994,0.028576,0.028825,0.028825,8003.037
2019-12-01,0.028825,0.029298,0.028744,0.028989,0.028989,9630.516
2019-12-02,0.028989,0.02946,0.028954,0.029287,0.029287,11875.652
2019-12-03,0.029287,0.029397,0.0289,0.028984,0.028984,6971.853
2019-12-04,0.029005,0.029258,0.028199,0.028839,0.028839,20177.077
2019-12-05,0.028846,0.02901,0.028377,0.028632,0.028632,13313.237
2019-12-06,0.028644,0.028869,0.028147,0.028262,0.028262,10563.768
2019-12-07,0.028285,0.028581,0.0281,0.028177,0.028177,5458.611
2019-12-08,0.028178,0.028481,0.027955,0.028293,0.028293,6864.978
2019-12-09,0.028293,0.028535,0.02796,0.028352,0.028352,10549.557
2019-12-10,0.028367,0.028661,0.028152,0.0286,0.0286,11491.413
2019-12-11,0.0286,0.028763,0.0284,0.028716,0.028716,5637.001
2019-12-12,0.028716,0.0289,0.028461,0.028712,0.028712,7044.522
2019-12-13,0.028712,0.029275,0.028571,0.029149,0.029149,10264.869
2019-12-14,0.029149,0.029337,0.029017,0.029139,0.029139,12096.912
2019-12-15,0.029139,0.029337,0.028787,0.029069,0.029069,8987.27
2019-12-16,0.029045,0.02925,0.0282,0.028472,0.028472,19498.976
2019-12-17,0.028472,0.028545,0.026054,0.026635,0.026635,31481.962
2019-12-18,0.026652,0.027124,0.025748,0.025986,0.025986,30521.668
2019-12-19,0.025966,0.026467,0.025826,0.026009,0.026009,12920.841
2019-12-20,0.026009,0.026519,0.025863,0.026071,0.026071,9799.508
2019-12-21,0.02607,0.026337,0.025908,0.026096,0.026096,4741.904
2019-12-22,0.026096,0.026623,0.025948,0.02617,0.02617,8475.019
2019-12-23,0.026157,0.026255,0.0256,0.025915,0.025915,8526.2
2019-12-24,0.025929,0.026197,0.0256,0.025941,0.025941,8699.651
2019-12-25,0.025938,0.026029,0.02545,0.02573,0.02573,5441.747
2019-12-26,0.02573,0.026499,0.02558,0.026048,0.026048,10247.947
2019-12-27,0.026049,0.028149,0.025959,0.028021,0.028021,35736.158
2019-12-28,0.028012,0.028767,0.027954,0.028208,0.028208,24304.2
2019-12-29,0.028187,0.029101,0.028012,0.028733,0.028733,19110.615
2019-12-30,0.028739,0.029095,0.028406,0.02878,0.02878,14937.218
2019-12-31,0.028783,0.029349,0.028114,0.028439,0.028439,19638.207
2020-01-01,0.028441,0.028878,0.028273,0.028371,0.028371,7292.824
2020-01-02,0.02837,0.028572,0.027745,0.028058,0.028058,13879.346
2020-01-03,0.028066,0.0305,0.02781,0.030286,0.030286,42789.977
2020-01-04,0.030286,0.030889,0.030062,0.030531,0.030531,21450.54
2020-01-05,0.030531,0.030728,0.02976,0.030287,0.030287,18140.82
2020-01-06,0.030294,0.032169,0.030207,0.031491,0.031491,34458.402
2020-01-07,0.031451,0.031497,0.029671,0.029762,0.029762,35205.018
2020-01-08,0.029725,0.0302,0.028439,0.029834,0.029834,44425.266
2020-01-09,0.029816,0.030632,0.02962,0.030445,0.030445,19672.413
2020-01-10,0.030465,0.033619,0.030087,0.033162,0.033162,81475.403
2020-01-11,0.033159,0.033913,0.032101,0.032521,0.032521,48602.13
2020-01-12,0.032507,0.033266,0.032288,0.033061,0.033061,27017.504
2020-01-13,0.033095,0.033323,0.032341,0.032942,0.032942,23400.515
2020-01-14,0.032955,0.0422,0.032934,0.039518,0.039518,198436.247
2020-01-15,0.039517,0.040864,0.03648,0.038518,0.038518,124179.109
2020-01-16,0.038531,0.038717,0.03602,0.037476,0.037476,61515.366
2020-01-17,0.037453,0.042892,0.036834,0.041284,0.041284,102103.523
2020-01-18,0.04129,0.045142,0.037262,0.03803,0.03803,152725.257
2020-01-19,0.038035,0.04,0.0373,0.039001,0.039001,73017.214
2020-01-20,0.039005,0.04061,0.037719,0.0397,0.0397,36970.662
2020-01-21,0.039702,0.040091,0.038924,0.039313,0.039313,23218.696
2020-01-22,0.039313,0.040277,0.038923,0.040192,0.040192,19514.647
2020-01-23,0.040176,0.040399,0.038,0.03867,0.03867,30850.252
2020-01-24,0.038689,0.03895,0.035921,0.037785,0.037785,45402.478
2020-01-25,0.03775,0.037973,0.036544,0.037191,0.037191,18537.609
2020-01-26,0.037178,0.040727,0.037044,0.040447,0.040447,41379.339
2020-01-27,0.040435,0.043005,0.040085,0.040731,0.040731,50550.698
2020-01-28,0.040731,0.042038,0.040169,0.040362,0.040362,50575.009
2020-01-29,0.040369,0.042274,0.04033,0.040847,0.040847,42639.571
2020-01-30,0.040904,0.0421,0.0403,0.041279,0.041279,40480.645
