date,Open,High,Low,Close,Volume
2001-09-09 21:00:00,120.20500000000001,121.17500000000001,119.83500000000001,121.055,0
2001-09-10 21:00:00,121.055,122.065,118.565,119.505,0
2001-09-11 21:00:00,119.505,119.92500000000001,118.66499999999999,119.54499999999999,0
2001-09-12 21:00:00,119.54499999999999,119.755,118.625,118.905,0
2001-09-13 21:00:00,118.905,119.20500000000001,116.945,117.565,0
2001-09-16 21:00:00,117.565,118.35499999999999,116.67500000000001,117.83500000000001,0
2001-09-17 21:00:00,117.83500000000001,118.275,117.125,117.35499999999999,0
2001-09-18 21:00:00,117.35499999999999,118.17500000000001,117.125,117.625,0
2001-09-19 21:00:00,117.625,117.715,115.85499999999999,116.405,0
2001-09-20 21:00:00,116.405,117.505,116.11500000000001,116.875,0
2001-09-23 21:00:00,116.875,117.67500000000001,116.345,117.515,0
2001-09-24 21:00:00,117.515,117.815,117.035,117.655,0
2001-09-25 21:00:00,117.655,118.07499999999999,117.13499999999999,117.815,0
2001-09-26 21:00:00,117.815,120.025,117.725,119.725,0
2001-09-27 21:00:00,119.725,119.815,118.755,119.565,0
2001-09-30 21:00:00,119.565,120.475,119.345,120.285,0
2001-10-01 21:00:00,120.285,121.155,120.14500000000001,120.83500000000001,0
2001-10-02 21:00:00,120.83500000000001,121.485,120.485,120.625,0
2001-10-03 21:00:00,120.625,120.875,120.235,120.595,0
2001-10-04 21:00:00,120.595,120.66499999999999,119.985,120.305,0
2001-10-07 21:00:00,120.305,120.345,119.70500000000001,119.905,0
2001-10-08 21:00:00,119.905,120.35499999999999,119.755,120.14500000000001,0
2001-10-09 21:00:00,120.14500000000001,120.61500000000001,119.85499999999999,120.405,0
2001-10-10 21:00:00,120.405,121.715,120.17500000000001,121.435,0
2001-10-11 21:00:00,121.435,121.785,120.745,120.875,0
2001-10-14 21:00:00,120.875,121.17500000000001,120.535,120.845,0
2001-10-15 21:00:00,120.845,121.91499999999999,120.67500000000001,121.275,0
2001-10-16 21:00:00,121.275,121.82499999999999,120.85499999999999,121.29499999999999,0
2001-10-17 21:00:00,121.29499999999999,121.515,120.805,121.14500000000001,0
2001-10-18 21:00:00,121.14500000000001,121.35499999999999,120.86500000000001,121.20500000000001,0
2001-10-21 21:00:00,121.20500000000001,122.60499999999999,121.17500000000001,122.45500000000001,0
2001-10-22 21:00:00,122.45500000000001,123.055,122.32499999999999,122.61500000000001,0
2001-10-23 21:00:00,122.61500000000001,122.995,122.405,122.785,0
2001-10-24 21:00:00,122.785,123.375,122.495,122.89500000000001,0
2001-10-25 21:00:00,122.89500000000001,123.285,122.485,122.765,0
2001-10-28 21:00:00,122.765,122.815,121.905,121.995,0
2001-10-29 21:00:00,121.995,122.17500000000001,121.60499999999999,122.095,0
2001-10-30 21:00:00,122.095,122.66499999999999,121.715,122.445,0
2001-10-31 21:00:00,122.445,122.565,121.405,121.95500000000001,0
2001-11-01 21:00:00,121.95500000000001,122.095,121.495,121.67500000000001,0
2001-11-04 21:00:00,121.67500000000001,122.13499999999999,121.625,121.715,0
2001-11-05 21:00:00,121.715,121.79499999999999,121.005,121.265,0
2001-11-06 21:00:00,121.265,121.285,120.755,121.07499999999999,0
2001-11-07 21:00:00,121.07499999999999,121.405,119.79499999999999,120.095,0
2001-11-08 21:00:00,120.095,120.535,120.035,120.405,0
2001-11-11 21:00:00,120.405,120.86500000000001,119.775,120.595,0
2001-11-12 21:00:00,120.595,121.79499999999999,120.38499999999999,121.67500000000001,0
2001-11-13 21:00:00,121.67500000000001,122.015,121.405,121.595,0
2001-11-14 21:00:00,121.595,122.535,121.515,122.42500000000001,0
